TRAVEL_ID,recommend_result_place
b_b015715,"['해운대해수욕장', '송정해수욕장', '광안리해수욕장', '센텀시티 스파랜드', '청사포다릿돌전망대', '신세계백화점 센텀시티점', '해운대블루라인파크 청사포정거장', '동백섬', '해운대블루라인파크 송정정거장', '밀락 더 마켓']"
b_b000419,"['휴휴암', '낙산사', '설악산', '인구해변', '화암사', '서피비치', '정암해변', '송지호해수욕장', '통일전망대', '낙산해변']"
b_b001944,"['송정해수욕장', '청사포다릿돌전망대', '센텀시티 스파랜드', '해운대해수욕장', '삼정타워', '광안리해수욕장', '동백섬', '해운대블루라인파크 청사포정거장', '전포카페거리', '신세계백화점 센텀시티점']"
b_b004400,"['오대산월정사 전나무숲길', '휘닉스평창 블루캐니언', '월정사', '발왕산관광케이블카', '대관령삼양목장', '대관령양떼목장']"
b_b000223,"['소금산출렁다리', '뮤지엄산']"
c_c008092,"['장생포고래박물관', '태화강국가정원', '대왕암공원', '태화강국가정원 십리대숲', '대왕암공원 출렁다리', '간절곶', '울산시립미술관']"
b_b004144,"['팔공산케이블카', '신세계백화점 대구점']"
b_b006325,"['경주월드', '보문호', '경주역사유적지구', '경주핑크뮬리군락지', '국립경주박물관', '분황사', '월정교', '캘리포니아비치', '동궁과월지', '교촌마을']"
b_b005111,"['팔공산케이블카', '신세계백화점 대구점']"
b_b011608,"['소금산출렁다리', '뮤지엄산']"
b_b003041,"['하슬라아트월드', '사근진해변', '주문진해변', '아르떼뮤지엄 강릉', '허균허난설헌기념공원', '정동심곡 바다부채길', '홈플러스 강릉점', '경포대', '정동진해변', '대관령양떼목장']"
b_b004707,"['하이원 워터월드', '파크로쉬리조트앤웰니스', '정선아리랑시장']"
b_b014853,"['무섬마을', '소수서원']"
b_b001065,"['월영교', '낙강물길공원', '병산서원', '부용대', '안동하회마을', '만휴정']"
b_b014369,"['국립경주박물관', '경주역사유적지구', '경주보문관광단지', '첨성대', '대릉원', '보문호', '불국사', '경주월드', '황리단길', '경주핑크뮬리군락지']"
b_b009808,"['하슬라아트월드', '정동진해변', '주문진해변', '정동심곡 바다부채길', '아르떼뮤지엄 강릉', '허균허난설헌기념공원', '경포호', '홈플러스 강릉점', '경포대', '경포아쿠아리움']"
b_b004000,"['경주월드', '경주역사유적지구', '국립경주박물관', '캘리포니아비치', '보문호', '교촌마을', '황리단길', '불국사', '월정교', '경주핑크뮬리군락지']"
b_b004590,"['남이섬', '김유정문학촌', '청평사', '이마트 춘천점', '춘천삼악산호수케이블카', '레고랜드코리아리조트', '소양강스카이워크']"
b_b008194,"['스파크랜드', '청라언덕', '현대백화점 대구점', '서문시장', '김광석다시그리기길', '동성로로데오거리', '대구근대역사관', '주교좌계산대성당']"
b_b002817,"['경주월드', '캘리포니아비치', '국립경주박물관', '경주역사유적지구', '월정교', '보문호', '불국사', '대릉원', '첨성대', '경주엑스포대공원']"
b_b000820,"['이케아 동부산점', '센텀시티 스파랜드', '송정해수욕장', '해동용궁사', '해운대블루라인파크 청사포정거장', '청사포다릿돌전망대', '해운대해수욕장', '신세계백화점 센텀시티점', '동백섬', '해운대블루라인파크 미포정거장']"
b_b000468,"['화암사', '영랑호', '갯배st 속초청년몰', '설악산소공원', '영금정', '속초관광수산시장', '속초아이', '설악케이블카', '외옹치 바다향기로', '송지호해수욕장']"
b_b004780,"['주문진해변', '정동심곡 바다부채길', '경포대', '하슬라아트월드', '정동진해변', '홈플러스 강릉점', '강문해변', '경포호', '아르떼뮤지엄 강릉', '경포해수욕장']"
b_b001471,"['경주월드', '국립경주박물관', '경주역사유적지구', '경주핑크뮬리군락지', '호미곶', '보문정', '보문호', '경주오릉', '월정교', '캘리포니아비치']"
