SIDO,VISIT_AREA_NM,GUNGU,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
강원,정동진해변,강릉시,1.0,66.66666666666667,4.555555555555555,0.5555555555555556,1.3333333333333333,4.666666666666667
강원,황지공원 황지연못,태백시,1.0,45.0,3.8333333333333335,0.1666666666666666,1.1666666666666667,3.8333333333333335
강원,안목해변,강릉시,1.0,51.6,4.24,0.52,1.0,4.28
강원,김유정문학촌,춘천시,3.0,56.66666666666666,4.333333333333333,0.1111111111111111,0.8888888888888888,4.333333333333333
강원,강릉중앙시장,강릉시,4.0,52.7027027027027,4.1891891891891895,0.4324324324324324,1.351351351351351,3.972972972972973
강원,삼척중앙시장,삼척시,4.0,48.75,3.375,0.125,1.375,3.0
부산,용두산공원,중구,2.0,43.63636363636363,3.636363636363636,0.7272727272727273,0.8181818181818182,3.5454545454545454
부산,부평깡통시장,중구,4.0,44.4,4.08,0.4,1.24,4.08
강원,주문진수산물 좌판풍물시장,강릉시,4.0,42.0,4.2,0.4,2.4,4.2
강원,발왕산관광케이블카,평창군,6.0,123.33333333333331,4.222222222222222,0.4444444444444444,2.111111111111111,4.111111111111111
강원,대관령양떼목장,평창군,1.0,70.0,4.166666666666667,0.3333333333333333,2.1666666666666665,3.333333333333333
강원,청평사,춘천시,2.0,54.0,4.2,0.2,1.4,3.8
대구,김광석다시그리기길,중구,4.0,45.0,4.0,0.1,1.7,3.6
강원,속초관광수산시장,속초시,4.0,61.52542372881356,4.033898305084746,0.6610169491525424,1.8983050847457628,4.067796610169491
강원,설악케이블카,속초시,6.0,126.0,4.1,0.3,1.8,4.1
부산,감천문화마을,사하구,7.0,67.5,4.25,0.25,2.0,4.25
부산,송도해상케이블카 송도베이스테이션,서구,6.0,86.66666666666667,4.444444444444445,0.0,1.7777777777777777,4.333333333333333
부산,다이아몬드타워,중구,6.0,60.0,3.4,0.0,1.2,3.4
강원,망상해변,동해시,1.0,72.85714285714286,4.357142857142857,0.2857142857142857,3.2142857142857144,4.357142857142857
강원,천곡황금박쥐동굴,동해시,2.0,48.0,4.2,0.2,2.0,3.8
강원,도째비골스카이밸리,동해시,1.0,36.0,4.0,0.2,2.8,4.0
부산,신세계백화점 센텀시티점,해운대구,4.0,90.0,4.230769230769231,0.6153846153846154,0.6923076923076923,4.230769230769231
강원,정동심곡 바다부채길,강릉시,1.0,90.0,4.8,0.4,1.6,4.6
강원,허균허난설헌기념관,강릉시,2.0,43.63636363636363,4.363636363636363,0.2727272727272727,1.7272727272727273,4.2727272727272725
강원,아르떼뮤지엄 강릉,강릉시,3.0,93.52941176470588,4.588235294117647,0.0,1.7647058823529411,4.235294117647059
