TRAVEL_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,sido_gungu_list
b_b015715,22,여,20,4,3,3,3,3,3,5,2,7,1,2,0,"['부산+해운대구', '부산+수영구']"
b_b000419,21,여,40,3,5,3,3,1,1,2,5,7,3,4,3,"['강원+고성군', '강원+양양군']"
b_b001944,5,여,20,1,4,2,2,4,5,4,5,6,1,4,1,"['부산+부산진구', '부산+해운대구', '부산+수영구', '부산+동래구']"
b_b004400,22,여,20,2,3,1,1,6,6,2,6,5,1,4,1,['강원+평창군']
b_b000223,28,남,50,7,4,3,3,5,3,3,4,4,2,1,8,['강원+원주시']
c_c008092,6,남,20,5,1,2,1,6,6,2,7,6,2,4,1,"['울산+중구', '울산+동구', '울산+남구', '울산+울주군']"
b_b004144,22,여,30,8,1,1,1,3,1,1,3,7,3,2,2,['대구+동구']
b_b006325,2,여,30,4,2,6,6,6,5,2,1,3,3,2,3,['경북+경주시']
b_b005111,11,여,30,1,2,4,2,4,6,5,2,2,7,1,2,['대구+동구']
b_b011608,22,여,30,6,3,6,3,2,3,3,2,5,3,1,1,['강원+원주시']
b_b003041,6,여,40,4,2,2,2,2,2,2,4,7,7,5,1,"['강원+평창군', '강원+강릉시']"
b_b004707,23,여,30,4,2,2,2,3,2,3,3,6,10,2,1,['강원+정선군']
b_b014853,21,여,40,9,4,2,4,5,4,5,2,6,3,4,4,['경북+영주시']
b_b001065,3,남,40,9,7,1,4,2,2,6,6,2,3,4,6,['경북+안동시']
b_b014369,2,여,20,5,1,1,1,1,1,3,3,7,1,1,1,['경북+경주시']
b_b009808,21,여,40,3,2,3,3,4,3,4,6,5,1,5,0,['강원+강릉시']
