TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
b_b015715,뮤지엄원,부산,해운대구,3.0,4.0,2.0,4.0,90.0,0,b015715,22,여,20,4,3,3,3,3,3,5,2,7,1,2,0
b_b015715,광안리해수욕장,부산,수영구,1.0,4.0,5.0,5.0,90.0,1,b015715,22,여,20,4,3,3,3,3,3,5,2,7,1,2,0
b_b000419,서피비치,강원,양양군,5.0,5.0,5.0,5.0,120.0,0,b000419,21,여,40,3,5,3,3,1,1,2,5,7,3,4,3
b_b000419,송지호해수욕장,강원,고성군,1.0,5.0,5.0,4.0,150.0,0,b000419,21,여,40,3,5,3,3,1,1,2,5,7,3,4,3
b_b001944,롯데백화점 부산본점,부산,부산진구,4.0,4.0,4.0,4.0,90.0,1,b001944,5,여,20,1,4,2,2,4,5,4,5,6,1,4,1
b_b001944,송정해수욕장,부산,해운대구,1.0,4.0,3.0,4.0,30.0,0,b001944,5,여,20,1,4,2,2,4,5,4,5,6,1,4,1
b_b001944,밀락 더 마켓,부산,수영구,4.0,3.0,3.0,4.0,120.0,0,b001944,5,여,20,1,4,2,2,4,5,4,5,6,1,4,1
b_b001944,부산사직종합운동장 사직야구장,부산,동래구,5.0,4.0,4.0,4.0,240.0,0,b001944,5,여,20,1,4,2,2,4,5,4,5,6,1,4,1
b_b004400,봉평전통시장,강원,평창군,4.0,1.0,1.0,1.0,60.0,0,b004400,22,여,20,2,3,1,1,6,6,2,6,5,1,4,1
b_b000223,뮤지엄산,강원,원주시,3.0,4.0,4.0,4.0,90.0,0,b000223,28,남,50,7,4,3,3,5,3,3,4,4,2,1,8
c_c008092,롯데백화점 울산점,울산,남구,4.0,4.0,2.0,4.0,60.0,0,c008092,6,남,20,5,1,2,1,6,6,2,7,6,2,4,1
c_c008092,간절곶,울산,울주군,1.0,5.0,5.0,5.0,360.0,0,c008092,6,남,20,5,1,2,1,6,6,2,7,6,2,4,1
c_c008092,명선도,울산,울주군,1.0,3.0,3.0,3.0,30.0,0,c008092,6,남,20,5,1,2,1,6,6,2,7,6,2,4,1
c_c008092,슬도,울산,동구,1.0,5.0,5.0,5.0,90.0,0,c008092,6,남,20,5,1,2,1,6,6,2,7,6,2,4,1
c_c008092,태화강국가정원,울산,중구,1.0,4.0,5.0,5.0,90.0,0,c008092,6,남,20,5,1,2,1,6,6,2,7,6,2,4,1
c_c008092,장생포고래문화마을,울산,남구,7.0,4.0,2.0,4.0,60.0,0,c008092,6,남,20,5,1,2,1,6,6,2,7,6,2,4,1
b_b004144,신세계백화점 대구점,대구,동구,4.0,5.0,5.0,5.0,30.0,1,b004144,22,여,30,8,1,1,1,3,1,1,3,7,3,2,2
b_b006325,경주월드,경북,경주시,6.0,5.0,5.0,5.0,420.0,1,b006325,2,여,30,4,2,6,6,6,5,2,1,3,3,2,3
b_b005111,팔공산케이블카,대구,동구,6.0,4.0,4.0,4.0,60.0,1,b005111,11,여,30,1,2,4,2,4,6,5,2,2,7,1,2
b_b011608,소금산출렁다리,강원,원주시,1.0,4.0,5.0,5.0,240.0,0,b011608,22,여,30,6,3,6,3,2,3,3,2,5,3,1,1
b_b003041,정동진조각공원,강원,강릉시,1.0,5.0,5.0,5.0,60.0,0,b003041,6,여,40,4,2,2,2,2,2,2,4,7,7,5,1
b_b003041,강릉카페거리,강원,강릉시,4.0,4.0,4.0,4.0,30.0,0,b003041,6,여,40,4,2,2,2,2,2,2,4,7,7,5,1
b_b003041,대관령삼양목장,강원,평창군,1.0,5.0,5.0,5.0,180.0,0,b003041,6,여,40,4,2,2,2,2,2,2,4,7,7,5,1
b_b004707,정선아리랑시장,강원,정선군,4.0,4.0,4.0,3.0,60.0,0,b004707,23,여,30,4,2,2,2,3,2,3,3,6,10,2,1
b_b014853,무섬마을,경북,영주시,7.0,5.0,5.0,5.0,90.0,1,b014853,21,여,40,9,4,2,4,5,4,5,2,6,3,4,4
b_b014853,부석사,경북,영주시,2.0,5.0,5.0,5.0,120.0,0,b014853,21,여,40,9,4,2,4,5,4,5,2,6,3,4,4
b_b001065,도산서원,경북,안동시,2.0,5.0,5.0,5.0,120.0,0,b001065,3,남,40,9,7,1,4,2,2,6,6,2,3,4,6
b_b014369,경주월드,경북,경주시,6.0,5.0,5.0,5.0,240.0,0,b014369,2,여,20,5,1,1,1,1,1,3,3,7,1,1,1
b_b014369,첨성대,경북,경주시,2.0,5.0,5.0,5.0,30.0,0,b014369,2,여,20,5,1,1,1,1,1,3,3,7,1,1,1
b_b009808,허균허난설헌기념관,강원,강릉시,1.0,4.0,4.0,4.0,30.0,0,b009808,21,여,40,3,2,3,3,4,3,4,6,5,1,5,0
b_b009808,강릉중앙시장,강원,강릉시,4.0,4.0,3.0,3.0,60.0,1,b009808,21,여,40,3,2,3,3,4,3,4,6,5,1,5,0
b_b009808,강문해변,강원,강릉시,1.0,4.0,4.0,4.0,30.0,0,b009808,21,여,40,3,2,3,3,4,3,4,6,5,1,5,0
b_b009808,경포호,강원,강릉시,1.0,4.0,4.0,4.0,30.0,0,b009808,21,여,40,3,2,3,3,4,3,4,6,5,1,5,0
b_b004000,첨성대,경북,경주시,2.0,5.0,5.0,5.0,30.0,1,b004000,22,여,40,3,4,4,1,3,4,4,2,5,2,1,1
b_b004000,동궁과월지,경북,경주시,2.0,5.0,5.0,5.0,30.0,0,b004000,22,여,40,3,4,4,1,3,4,4,2,5,2,1,1
b_b004000,국립경주박물관,경북,경주시,2.0,4.0,5.0,5.0,30.0,0,b004000,22,여,40,3,4,4,1,3,4,4,2,5,2,1,1
b_b004000,황리단길,경북,경주시,4.0,4.0,5.0,5.0,120.0,0,b004000,22,여,40,3,4,4,1,3,4,4,2,5,2,1,1
b_b004000,경주보문관광단지,경북,경주시,1.0,5.0,5.0,5.0,120.0,0,b004000,22,여,40,3,4,4,1,3,4,4,2,5,2,1,1
b_b004590,레고랜드코리아리조트,강원,춘천시,6.0,5.0,4.0,4.0,510.0,1,b004590,2,여,30,1,6,4,4,2,4,4,5,5,1,2,2
b_b008194,228기념중앙공원 청소년광장,대구,중구,2.0,4.0,4.0,4.0,30.0,0,b008194,1,여,20,1,4,2,6,2,2,6,6,4,2,3,1
b_b002817,봉길대왕암해변,경북,경주시,1.0,5.0,5.0,5.0,30.0,0,b002817,3,남,30,6,4,4,2,4,4,2,4,6,2,4,1
b_b002817,경주월성,경북,경주시,7.0,5.0,5.0,5.0,30.0,0,b002817,3,남,30,6,4,4,2,4,4,2,4,6,2,4,1
b_b002817,첨성대,경북,경주시,2.0,4.0,4.0,5.0,30.0,0,b002817,3,남,30,6,4,4,2,4,4,2,4,6,2,4,1
b_b002817,동궁과월지,경북,경주시,2.0,5.0,5.0,5.0,30.0,0,b002817,3,남,30,6,4,4,2,4,4,2,4,6,2,4,1
b_b002817,월정교,경북,경주시,2.0,5.0,5.0,5.0,60.0,0,b002817,3,남,30,6,4,4,2,4,4,2,4,6,2,4,1
b_b002817,경주문무대왕릉,경북,경주시,1.0,4.0,3.0,3.0,30.0,0,b002817,3,남,30,6,4,4,2,4,4,2,4,6,2,4,1
b_b000820,스카이라인루지 부산,부산,기장군,5.0,4.0,3.0,3.0,60.0,0,b000820,23,여,20,5,2,1,1,3,3,2,6,3,2,4,4
b_b000820,워터하우스,부산,기장군,5.0,5.0,5.0,5.0,90.0,1,b000820,23,여,20,5,2,1,1,3,3,2,6,3,2,4,4
b_b000820,해운대블루라인파크 미포정거장,부산,해운대구,6.0,3.0,2.0,2.0,60.0,0,b000820,23,여,20,5,2,1,1,3,3,2,6,3,2,4,4
b_b000820,청사포다릿돌전망대,부산,해운대구,1.0,3.0,3.0,3.0,60.0,0,b000820,23,여,20,5,2,1,1,3,3,2,6,3,2,4,4
b_b000468,속초아이,강원,속초시,6.0,5.0,5.0,5.0,60.0,0,b000468,3,여,20,4,2,3,2,4,6,2,5,5,1,6,3
b_b000468,DMZ박물관,강원,고성군,2.0,5.0,5.0,5.0,60.0,0,b000468,3,여,20,4,2,3,2,4,6,2,5,5,1,6,3
b_b000468,속초관광수산시장,강원,속초시,4.0,5.0,5.0,5.0,30.0,1,b000468,3,여,20,4,2,3,2,4,6,2,5,5,1,6,3
b_b004780,경포호,강원,강릉시,1.0,5.0,5.0,5.0,60.0,1,b004780,23,여,20,1,4,1,2,3,4,4,7,6,2,1,1
b_b004780,강문해변,강원,강릉시,1.0,5.0,5.0,5.0,30.0,1,b004780,23,여,20,1,4,1,2,3,4,4,7,6,2,1,1
b_b004780,경포대,강원,강릉시,1.0,5.0,5.0,5.0,30.0,1,b004780,23,여,20,1,4,1,2,3,4,4,7,6,2,1,1
b_b001471,송대말등대,경북,경주시,1.0,5.0,5.0,5.0,30.0,0,b001471,21,여,20,3,1,1,1,5,5,5,2,7,2,3,1
b_b001471,전촌용굴,경북,경주시,1.0,4.0,4.0,4.0,90.0,0,b001471,21,여,20,3,1,1,1,5,5,5,2,7,2,3,1
b_b001471,환호공원 스페이스워크,경북,포항시,6.0,4.0,3.0,3.0,60.0,0,b001471,21,여,20,3,1,1,1,5,5,5,2,7,2,3,1
b_b001471,영일대전망대,경북,포항시,1.0,4.0,3.0,3.0,30.0,1,b001471,21,여,20,3,1,1,1,5,5,5,2,7,2,3,1
b_b000733,삼척해상케이블카 장호역,강원,삼척시,6.0,5.0,5.0,5.0,90.0,0,b000733,4,남,30,6,1,1,1,1,4,4,3,4,2,3,1
b_b011136,국립김해박물관,경남,김해시,2.0,4.0,4.0,4.0,60.0,0,b011136,6,여,40,1,4,2,3,5,6,6,2,4,3,3,2
b_b011136,수로왕릉,경남,김해시,2.0,3.0,3.0,3.0,30.0,1,b011136,6,여,40,1,4,2,3,5,6,6,2,4,3,3,2
