TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM,MBTI
a006685,41,여,30,5,1.0,2.0,2,3.0,,4,7.0,3,6,41,41650,28,28720,42,42750,1,1,7,5,1,1,5,2,경기도,인천,2인 가족 여행,2022-10-09~2022-10-09,10.0,,,1,INFP
a014274,11,여,20,6,1.0,1.0,4,2.0,,5,11.0,3,5,50,50110,47,47130,42,42130,2,1,1,5,3,3,2,6,서울특별시,경기,나홀로 여행,2022-11-01~2022-11-03,4.0,7.0,1.0,0,ESTJ
a001158,41,남,30,6,1.0,1.0,1,3.0,,4,,2,2,11,11680,48,48120,50,50110,1,3,2,3,2,2,3,2,경기도,경기,나홀로 여행,2022-09-01~2022-09-03,8.0,1.0,6.0,0,ENFJ
a005594,28,남,30,6,1.0,2.0,4,3.0,,7,7.0,2,2,11,11500,28,28110,41,41570,2,7,2,6,6,6,6,2,인천광역시,경기,자녀 동반 여행,2022-10-08~2022-10-08,3.0,1.0,2.0,3,ENFP
a007033,11,남,20,4,1.0,1.0,3,12.0,,2,8.0,1,1,41,41450,11,11710,11,11170,7,7,1,1,3,1,7,7,서울특별시,경기,나홀로 여행,2022-10-15~2022-10-15,1.0,2.0,7.0,0,ENFP
a008021,11,여,40,6,1.0,2.0,4,3.0,,6,12.0,3,4,42,42820,44,44825,41,41650,2,1,5,1,3,2,2,7,서울특별시,경기,3인 이상 여행(가족 외),2022-10-22~2022-10-22,3.0,,,7,ISFJ
a007957,28,남,30,6,1.0,1.0,1,3.0,,5,,2,2,50,50110,26,26350,42,42110,2,3,2,6,2,3,6,5,인천광역시,서울,나홀로 여행,2022-10-16~2022-10-16,1.0,2.0,5.0,0,ISFP
a007329,11,남,20,6,1.0,1.0,1,2.0,,5,,2,1,41,41110,29,29140,50,50130,6,5,2,5,3,2,6,2,서울특별시,경기,나홀로 여행,2022-10-29~2022-10-29,2.0,1.0,7.0,0,INFP
c002035,41,남,20,6,1.0,1.0,4,10.0,,3,10.0,3,3,50,50130,26,26110,11,11110,2,2,2,5,6,2,2,7,경기도,서울,나홀로 여행,2022-09-14~2022-09-14,2.0,1.0,7.0,0,ISFJ
a004399,41,남,40,6,1.0,2.0,4,2.0,,5,8.0,3,3,44,44760,42,42210,41,41110,2,2,1,6,6,6,7,7,경기도,경기,자녀 동반 여행,2022-10-08~2022-10-10,3.0,1.0,2.0,3,ENFP
a002197,44,여,30,7,2.0,2.0,2,2.0,,5,7.0,2,1,11,11680,30,30170,26,26350,7,1,1,1,1,7,1,1,충청남도,서울,나홀로 여행,2022-09-19~2022-09-20,4.0,7.0,8.0,0,ISFJ
a006822,11,여,20,6,1.0,1.0,1,2.0,,6,,3,2,42,42210,50,50130,47,47170,3,3,1,3,6,2,7,6,서울특별시,경기,나홀로 여행,2022-10-15~2022-10-15,1.0,7.0,2.0,0,INFP
a003223,11,남,20,6,1.0,1.0,1,2.0,,5,,3,4,41,41110,43,43760,46,46710,1,1,1,1,1,5,3,1,서울특별시,경기,나홀로 여행,2022-10-01~2022-10-02,2.0,6.0,8.0,0,INFJ
a017742,44,여,30,7,1.0,2.0,1,2.0,,5,,2,3,50,50130,42,42150,11,11200,2,2,2,2,5,6,2,7,충청남도,서울,나홀로 여행,2022-11-10~2022-11-10,7.0,5.0,1.0,0,ISFJ
