,TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SIDO_3,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_COMPANIONS_NUM,trip_day,pre_PAYMENT_load,COMPANION_AGE_avg,PAYMENT_AMT_WON,payment_bin,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,자연,도시,숙박,당일,새로운지역,익숙한지역,편하지만비싼숙소,불편하지만저렴한숙소,휴식,체험활동,알려지지않은여행지,알려진여행지,계획,즉흥,사진중요하지않음,사진중요
0,b015583,8,1,20,6,0,4,2,2,1,1,15,1,13,1,16,1,1,2,0.5,25.0,142000.0,0.0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,3,3,0,3,0,0,3
1,a001105,5,0,30,6,0,1,2,3,2,0,7,0,1,6,1,3,7,2,0.9,32.5,709200.0,1.0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,2,0,2,0,1
2,a001673,8,1,30,4,1,2,13,4,1,2,15,3,1,1,9,6,2,2,0.5,20.0,318900.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,2,0,3,0,2,0,0,1,2,0,0,3
3,a017690,8,1,30,6,0,2,2,4,2,5,8,8,15,1,9,3,3,1,0.5,35.0,60500.0,0.0,1,1,1,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,1,0,2,0,0,0,0,1
4,c006666,3,1,30,6,0,2,12,2,1,0,8,7,7,11,1,4,0,1,0.5,30.0,30000.0,0.0,1,1,0,0,0,0,1,0,0,0,1,0,0,2,2,0,0,0,0,2,0,1,0,1,0,1
5,a007192,0,0,20,7,0,3,1,6,1,0,7,15,8,8,1,4,0,1,0.5,20.0,18300.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,1,0,0
6,a006685,8,1,30,5,1,1,2,3,2,5,7,3,8,1,12,0,1,1,0.5,35.0,178100.0,0.0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,3,0,1,3,0,3,0,0,1,2,0
7,a014274,0,1,20,6,0,3,1,4,2,4,15,13,8,8,1,4,0,3,0.6,20.0,325600.0,0.0,1,0,0,1,0,0,1,0,0,0,2,0,3,0,3,0,0,1,1,0,1,0,2,0,0,2
8,a002302,0,1,60,6,1,1,1,3,1,4,8,3,7,8,12,4,0,1,0.5,60.0,22400.0,0.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,2,0,0,1,0,2,0,2
9,a004118,16,1,30,6,0,1,2,4,2,5,1,0,12,14,12,4,0,3,0.5,30.0,317200.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,3,0,0
10,a001158,8,0,30,6,0,0,2,3,1,1,0,14,15,1,1,4,0,3,0.5,30.0,26600.0,0.0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,2,0,1,0,2,0,2,0,1,0,2,0
11,a014377,3,1,40,6,0,0,2,3,2,1,15,1,14,11,9,4,0,1,0.5,40.0,39000.0,0.0,1,1,0,1,0,0,0,0,0,0,3,0,3,0,1,0,2,0,0,0,1,0,0,2,0,0
12,a003073,8,1,30,6,1,2,2,5,1,0,9,3,8,1,1,6,2,1,0.5,20.0,77100.0,0.0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,2,0,2,0,2,2,0
13,a005594,3,0,30,6,1,3,2,6,1,1,0,3,7,11,1,6,3,1,0.5,15.0,77790.0,0.0,1,1,1,0,0,0,0,0,0,0,2,0,0,3,2,0,0,2,0,2,0,2,0,2,2,0
14,a007179,8,1,40,5,1,0,12,2,2,4,8,7,7,1,12,3,4,1,0.5,22.5,254300.0,0.0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,3,0,1,0,2,0,1,0
15,a006286,8,0,40,6,1,2,1,8,1,0,12,15,8,1,12,6,2,1,0.5,25.0,28770.0,0.0,0,0,1,0,0,0,1,1,0,0,2,0,3,0,2,0,3,0,3,0,0,0,3,0,0,3
16,a002832,8,0,50,5,3,1,3,4,2,4,8,7,8,1,1,1,1,1,0.5,55.0,76000.0,0.0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,2,2,0,3,0,0,3
17,a001702,8,1,30,6,0,4,2,3,2,3,8,8,15,1,1,5,4,2,0.7,50.0,500500.0,0.0,1,1,1,0,0,0,0,0,0,0,2,0,2,0,2,0,1,0,0,0,2,0,1,0,0,3
18,a005419,0,1,30,6,1,2,1,1,2,3,5,10,8,8,1,6,2,1,0.5,20.0,40000.0,0.0,1,1,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,2,0,2,0,2,0,2,0,0
19,a008026,8,1,20,6,0,3,12,0,1,0,8,8,15,1,1,0,1,1,0.5,25.0,106000.0,0.0,1,0,1,0,0,0,1,0,0,0,2,0,3,0,2,0,1,0,0,0,0,0,0,1,0,0
20,a003335,8,1,30,6,0,0,2,3,1,0,15,15,0,1,9,1,1,2,0.5,35.0,250598.0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,2,0,2,0,0,0,0,1,2,0,0,0
21,a018046,0,1,20,6,0,3,1,0,1,0,7,7,3,8,1,4,0,1,0.5,20.0,9600.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,1,2,0,2,0
22,a007399,8,1,20,6,0,3,3,3,2,5,15,15,1,1,1,1,1,1,0.5,25.0,43000.0,0.0,1,1,1,0,0,0,0,0,0,0,0,2,3,0,3,0,1,0,0,0,0,2,0,2,0,2
