TRAVELER_ID,성별,연령,거주지,MBTI,여행빈도,여행빈도(기간),여행현황(동반),여행동반자수,자연/도시,숙박/당일,익숙한/새로운,편하지만비싼숙소/불편하지만저렴한숙소,휴양휴식/체험활동,잘알려지지않은/알려진,계획에따른/상황에따른,사진촬영중요하지않음/사진촬영중요,여행동기1,여행동기2,여행동기3,선호여행1,선호여행2,선호여행3
a006685,여,30,경기도,INFP,6,1년,2인 가족 여행,1,전자 매우선호,전자 매우선호,후자 매우선호,후자 조금선호,전자 매우선호,전자 매우선호,후자 조금선호,전자 중간선호,기타,,,포천시,인천광역시,영월군
a014274,여,20,서울특별시,ESTJ,5,1년,나홀로 여행,0,전자 중간선호,전자 매우선호,전자 매우선호,후자 조금선호,전자 조금선호,전자 조금선호,전자 중간선호,후자 중간선호,진정한 자아 찾기 또는 자신을 되돌아볼 기회 찾기,새로운 경험 추구,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",제주특별자치도,경주시,원주시
a001158,남,30,경기도,ENFJ,2,한달,나홀로 여행,0,전자 매우선호,전자 조금선호,전자 중간선호,전자 조금선호,전자 중간선호,전자 중간선호,전자 조금선호,전자 중간선호,"역사 탐방, 문화적 경험 등 교육적 동기","일상적인 환경 및 역할에서의 탈출, 지루함 탈피","운동, 건강 증진 및 충전",서울특별시,창원시,제주특별자치도
a005594,남,30,인천광역시,ENFP,2,한달,자녀 동반 여행,3,전자 중간선호,후자 매우선호,전자 중간선호,후자 중간선호,후자 중간선호,후자 중간선호,후자 중간선호,전자 중간선호,여행 동반자와의 친밀감 및 유대감 증진,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피","쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",서울특별시,인천광역시,김포시
a007033,남,20,서울특별시,ENFP,1,1주일 ,나홀로 여행,0,후자 매우선호,후자 매우선호,전자 매우선호,전자 매우선호,전자 조금선호,전자 매우선호,후자 매우선호,후자 매우선호,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피","쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",새로운 경험 추구,하남시,서울특별시,서울특별시
a008021,여,40,서울특별시,ISFJ,4,1년,3인 이상 여행(가족 외),7,전자 중간선호,전자 매우선호,후자 조금선호,전자 매우선호,전자 조금선호,전자 중간선호,전자 중간선호,후자 매우선호,여행 동반자와의 친밀감 및 유대감 증진,,,고성군,태안군,포천시
a007957,남,30,인천광역시,ISFP,2,한달,나홀로 여행,0,전자 중간선호,전자 조금선호,전자 중간선호,후자 중간선호,전자 중간선호,전자 조금선호,후자 중간선호,후자 조금선호,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피","쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",SNS 사진 등록 등 과시,제주특별자치도,부산광역시,춘천시
a007329,남,20,서울특별시,INFP,1,한달,나홀로 여행,0,후자 중간선호,후자 조금선호,전자 중간선호,후자 조금선호,전자 조금선호,전자 중간선호,후자 중간선호,전자 중간선호,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식","일상적인 환경 및 역할에서의 탈출, 지루함 탈피",새로운 경험 추구,수원시,광주광역시,제주특별자치도
c002035,남,20,경기도,ISFJ,3,1년,나홀로 여행,0,전자 중간선호,전자 중간선호,전자 중간선호,후자 조금선호,후자 중간선호,전자 중간선호,전자 중간선호,후자 매우선호,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식","일상적인 환경 및 역할에서의 탈출, 지루함 탈피",새로운 경험 추구,제주특별자치도,부산광역시,서울특별시
a004399,남,40,경기도,ENFP,3,1년,자녀 동반 여행,3,전자 중간선호,전자 중간선호,전자 매우선호,후자 중간선호,후자 중간선호,후자 중간선호,후자 매우선호,후자 매우선호,여행 동반자와의 친밀감 및 유대감 증진,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피","쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",부여군,속초시,수원시
a002197,여,30,충청남도,ISFJ,1,한달,나홀로 여행,0,후자 매우선호,전자 매우선호,전자 매우선호,전자 매우선호,전자 매우선호,후자 매우선호,전자 매우선호,전자 매우선호,진정한 자아 찾기 또는 자신을 되돌아볼 기회 찾기,새로운 경험 추구,"역사 탐방, 문화적 경험 등 교육적 동기",서울특별시,대전광역시,부산광역시
a006822,여,20,서울특별시,INFP,2,1년,나홀로 여행,0,전자 조금선호,전자 조금선호,전자 매우선호,전자 조금선호,후자 중간선호,전자 중간선호,후자 매우선호,후자 중간선호,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",새로운 경험 추구,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",속초시,제주특별자치도,안동시
a003223,남,20,서울특별시,INFJ,4,1년,나홀로 여행,0,전자 매우선호,전자 매우선호,전자 매우선호,전자 매우선호,전자 매우선호,후자 조금선호,전자 조금선호,전자 매우선호,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식","운동, 건강 증진 및 충전","역사 탐방, 문화적 경험 등 교육적 동기",수원시,괴산군,담양군
a017742,여,30,충청남도,ISFJ,3,한달,나홀로 여행,0,전자 중간선호,전자 중간선호,전자 중간선호,전자 중간선호,후자 조금선호,후자 중간선호,전자 중간선호,후자 매우선호,새로운 경험 추구,SNS 사진 등록 등 과시,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",제주특별자치도,강릉시,서울특별시
a006017,남,50,인천광역시,INFP,2,한달,2인 가족 여행,1,전자 중간선호,전자 조금선호,전자 중간선호,전자 조금선호,전자 조금선호,전자 중간선호,후자 중간선호,후자 조금선호,"운동, 건강 증진 및 충전",여행 동반자와의 친밀감 및 유대감 증진,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",제주특별자치도,속초시,완도군
a006061,여,20,경기도,ISTJ,2,한달,나홀로 여행,0,전자 중간선호,전자 조금선호,전자 중간선호,전자 중간선호,후자 중간선호,전자 조금선호,전자 중간선호,후자 중간선호,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식","일상적인 환경 및 역할에서의 탈출, 지루함 탈피","역사 탐방, 문화적 경험 등 교육적 동기",인천광역시,제주특별자치도,양양군
a004208,남,20,경기도,ISTJ,3,1년,2인 여행(가족 외),1,전자 중간선호,전자 중간선호,전자 중간선호,전자 중간선호,후자 중간선호,후자 중간선호,전자 중간선호,후자 중간선호,"특별한 목적(칠순여행, 신혼여행, 수학여행, 인센티브여행)",여행 동반자와의 친밀감 및 유대감 증진,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",제주특별자치도,부산광역시,서울특별시
a003110,여,30,경상북도,INFP,1,한달,3인 이상 여행(가족 외),2,후자 매우선호,전자 매우선호,전자 매우선호,후자 매우선호,후자 매우선호,전자 매우선호,후자 매우선호,전자 매우선호,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",여행 동반자와의 친밀감 및 유대감 증진,새로운 경험 추구,서울특별시,부산광역시,제주특별자치도
a001971,남,20,전라북도,ENTP,3,1년,나홀로 여행,0,후자 조금선호,전자 매우선호,전자 매우선호,후자 매우선호,전자 매우선호,전자 매우선호,후자 매우선호,후자 매우선호,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피","쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",새로운 경험 추구,서울특별시,부산광역시,인천광역시
b005303,남,20,서울특별시,INFP,4,1년,2인 여행(가족 외),1,전자 조금선호,전자 중간선호,전자 중간선호,전자 중간선호,후자 중간선호,전자 중간선호,후자 중간선호,후자 매우선호,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",새로운 경험 추구,SNS 사진 등록 등 과시,부산광역시,부산광역시,남양주시
a000014,남,50,서울특별시,ISFJ,5,1년,2인 여행(가족 외),7,전자 중간선호,전자 중간선호,후자 중간선호,전자 중간선호,전자 중간선호,후자 중간선호,전자 중간선호,후자 매우선호,기타,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피","쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",강릉시,양평군,제주특별자치도
a003176,여,30,전라북도,ISFP,10,1년,3인 이상 여행(가족 외),4,전자 조금선호,전자 매우선호,전자 중간선호,전자 중간선호,후자 중간선호,전자 조금선호,후자 조금선호,전자 조금선호,여행 동반자와의 친밀감 및 유대감 증진,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식","일상적인 환경 및 역할에서의 탈출, 지루함 탈피",서울특별시,광주광역시,가평군
