TRAVELER_ID,연령,성별_남,성별_여,자연,도시,숙박,당일,익숙한,새로운,편하지만비싼숙소,불편하지만저렴한숙소,휴양휴식,체험활동,잘알려지지않은,알려진,계획에따른,상황에따른,사진촬영중요하지않음,사진촬영중요,MBTI_ENFJ,MBTI_ENFP,MBTI_ENTJ,MBTI_ENTP,MBTI_ESFJ,MBTI_ESFP,MBTI_ESTJ,MBTI_ESTP,MBTI_INFJ,MBTI_INFP,MBTI_INTJ,MBTI_INTP,MBTI_ISFJ,MBTI_ISFP,MBTI_ISTJ,MBTI_ISTP,선호여행1,선호여행2,선호여행3
a006685,3,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,포천시,인천광역시,영월군
a014274,2,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,제주특별자치도,경주시,원주시
a001158,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,서울특별시,창원시,제주특별자치도
a005594,3,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,서울특별시,인천광역시,김포시
a007033,2,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하남시,서울특별시,서울특별시
a008021,4,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,고성군,태안군,포천시
a007957,3,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,제주특별자치도,부산광역시,춘천시
a007329,2,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,수원시,광주광역시,제주특별자치도
c002035,2,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,제주특별자치도,부산광역시,서울특별시
a004399,4,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,부여군,속초시,수원시
a002197,3,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,서울특별시,대전광역시,부산광역시
a006822,2,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,속초시,제주특별자치도,안동시
a003223,2,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,수원시,괴산군,담양군
a017742,3,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,제주특별자치도,강릉시,서울특별시
a006017,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,제주특별자치도,속초시,완도군
a006061,2,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,인천광역시,제주특별자치도,양양군
a004208,2,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,제주특별자치도,부산광역시,서울특별시
a003110,3,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,서울특별시,부산광역시,제주특별자치도
a001971,2,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,서울특별시,부산광역시,인천광역시
b005303,2,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,부산광역시,부산광역시,남양주시
a000014,5,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,강릉시,양평군,제주특별자치도
a003176,3,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,서울특별시,광주광역시,가평군
a002237,2,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,서울특별시,제주특별자치도,강릉시
a005736,4,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,파주시,포천시,강릉시
a004008,3,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,가평군,양평군,강릉시
a001563,3,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,제주특별자치도,강릉시,성남시
